"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe_ID"
-6.113095,7.76832166666667,-65.1335719444567,3.13945310208247e-09,5.99710812318646e-05,11.0637908765126,"8083594"
5.24696,9.50561333333333,54.3681995483963,8.55833553618959e-09,5.99710812318646e-05,10.5375849796957,"8074856"
-5.192085,9.29487166666667,-53.2095285485324,9.64510514426544e-09,5.99710812318646e-05,10.467797843162,"8112980"
-5.222965,7.64050166666667,-52.7102422263324,1.01631245299914e-08,5.99710812318646e-05,10.4367808996451,"7907222"
-4.96248,9.61807333333333,-49.9600433321175,1.36821016780024e-08,5.99710812318646e-05,10.2549971391889,"8007100"
-4.739875,7.72098,-49.8361467113204,1.38718826065995e-08,5.99710812318646e-05,10.2463481880019,"7919815"
-5.56103,9.08264833333333,-49.3043607231281,1.47225531750035e-08,5.99710812318646e-05,10.2087503747484,"7944082"
4.890395,7.24829833333333,47.8704557202908,1.73415289321123e-08,5.99710812318646e-05,10.1033992370872,"7951686"
4.82875,8.10652166666667,47.8395568771389,1.74037498364036e-08,5.99710812318646e-05,10.1010631586434,"8110265"
-4.69247,8.61206666666667,-47.5446935664893,1.80109563119394e-08,5.99710812318646e-05,10.078626375888,"7934979"
-5.700375,7.93901666666667,-46.3326828111771,2.07844579628594e-08,6.1459951841536e-05,9.98359485294356,"7985786"
5.38239,7.64952333333333,45.804230177559,2.21497258641449e-08,6.1459951841536e-05,9.9406976177451,"8035304"
4.39728,7.46871666666667,44.4604823233941,2.61264144653341e-08,6.69177863424791e-05,9.82740681006087,"8104663"
-4.492995,7.221905,-41.9241945780297,3.61836100104142e-08,7.99380102272431e-05,9.59580227964692,"7984813"
4.30349,7.97886,41.8524420749484,3.65288312632218e-08,7.99380102272431e-05,9.58888845683154,"8158771"
-4.252815,10.5039283333333,-40.9709251131369,4.11037654655245e-08,7.99380102272431e-05,9.50222296816491,"8135069"
-5.03351,7.34559666666667,-40.8075613265185,4.20241416404934e-08,7.99380102272431e-05,9.48580449223673,"7906919"
