"logFC","AveExpr","t","P.Value","adj.P.Val","B"
-6.113095,7.76832166666667,-65.1335719444567,3.13945310208247e-09,5.99710812318646e-05,11.0637908765126
5.24696,9.50561333333333,54.3681995483963,8.55833553618959e-09,5.99710812318646e-05,10.5375849796957
-5.192085,9.29487166666667,-53.2095285485324,9.64510514426544e-09,5.99710812318646e-05,10.467797843162
-5.222965,7.64050166666667,-52.7102422263324,1.01631245299914e-08,5.99710812318646e-05,10.4367808996451
-4.96248,9.61807333333333,-49.9600433321175,1.36821016780024e-08,5.99710812318646e-05,10.2549971391889
-4.739875,7.72098,-49.8361467113204,1.38718826065995e-08,5.99710812318646e-05,10.2463481880019
-5.56103,9.08264833333333,-49.3043607231281,1.47225531750035e-08,5.99710812318646e-05,10.2087503747484
4.890395,7.24829833333333,47.8704557202908,1.73415289321123e-08,5.99710812318646e-05,10.1033992370872
4.82875,8.10652166666667,47.8395568771389,1.74037498364036e-08,5.99710812318646e-05,10.1010631586434
-4.69247,8.61206666666667,-47.5446935664893,1.80109563119394e-08,5.99710812318646e-05,10.078626375888
-5.700375,7.93901666666667,-46.3326828111771,2.07844579628594e-08,6.1459951841536e-05,9.98359485294356
5.38239,7.64952333333333,45.804230177559,2.21497258641449e-08,6.1459951841536e-05,9.9406976177451
4.39728,7.46871666666667,44.4604823233941,2.61264144653341e-08,6.69177863424791e-05,9.82740681006087
-4.492995,7.221905,-41.9241945780297,3.61836100104142e-08,7.99380102272431e-05,9.59580227964692
4.30349,7.97886,41.8524420749484,3.65288312632218e-08,7.99380102272431e-05,9.58888845683154
-4.252815,10.5039283333333,-40.9709251131369,4.11037654655245e-08,7.99380102272431e-05,9.50222296816491
-5.03351,7.34559666666667,-40.8075613265185,4.20241416404934e-08,7.99380102272431e-05,9.48580449223673
-4.120505,9.00990833333333,-40.6025746468999,4.32136283776429e-08,7.99380102272431e-05,9.46504111344341
-4.875735,8.52520666666667,-39.4791043073962,5.04843638402109e-08,8.41623111240056e-05,9.34796008190601
-4.150395,10.4983183333333,-39.4289977536654,5.08409097822225e-08,8.41623111240056e-05,9.3426056782612
-3.912595,8.84786,-38.5146694249457,5.78994303140886e-08,8.41623111240056e-05,9.24283471286109
-3.68707,6.60146833333333,-38.5026570514654,5.79995869957907e-08,8.41623111240056e-05,9.24149739446668
5.92467,8.103485,38.3403613872866,5.93730074776541e-08,8.41623111240056e-05,9.22336045606572
4.126555,5.70664666666667,38.1919080435186,6.06629866647486e-08,8.41623111240056e-05,9.2066575324332
3.85027,8.12409,37.5409720983273,6.67244074498721e-08,8.88689037943357e-05,9.13212236730945
-6.26376,6.58916166666667,-36.9176501534127,7.32089451868977e-08,9.04755640348222e-05,9.05871682746705
-4.0016,7.62243666666667,-36.9034448158628,7.33651749088566e-08,9.04755640348222e-05,9.05702019708225
-3.800595,8.304245,-36.4377465673968,7.87115759836258e-08,9.0955405481643e-05,9.00080085802059
-4.236345,8.07238166666667,-36.3956153466999,7.92175498984186e-08,9.0955405481643e-05,8.99565692119165
-3.396165,9.78544666666667,-36.0382051144592,8.36677454062264e-08,9.22600609733581e-05,8.95162713327442
-3.55691,8.08086333333333,-35.7239498303031,8.78258850068177e-08,9.22600609733581e-05,8.91232561712579
-3.85136,6.03884166666667,-35.5533356164852,9.01853365812137e-08,9.22600609733581e-05,8.8907539675207
3.42493,5.55060833333333,35.4649408541623,9.14371268318712e-08,9.22600609733581e-05,8.87951220844688
-3.31808,8.35230166666667,-34.871516055803,1.00392317521997e-07,9.55075141865695e-05,8.8028646508034
-3.31808,8.35230166666667,-34.871516055803,1.00392317521997e-07,9.55075141865695e-05,8.8028646508034
4.06385,6.48136833333333,34.5935544189526,1.04940581291846e-07,9.6244691178477e-05,8.76624438521035
-3.689545,5.90457833333333,-34.4753464795045,1.069481807251e-07,9.6244691178477e-05,8.7505293847532
-4.806475,7.51105833333333,-34.2058001908291,1.116979140958e-07,9.64947080591486e-05,8.7143746861857
-4.33133,5.58016166666667,-33.8683028802682,1.18000324676089e-07,9.64947080591486e-05,8.66846881462761
-3.473705,8.30446666666667,-33.8471779160035,1.18408567422169e-07,9.64947080591486e-05,8.66557158634938
3.3811,6.81996666666667,33.6480016768995,1.22340694375377e-07,9.64947080591486e-05,8.63811549621331
-5.902525,7.95223166666667,-33.2614459383808,1.30420383154584e-07,9.64947080591486e-05,8.58410008178684
3.419355,7.86086333333333,33.0891155536217,1.34224228721286e-07,9.64947080591486e-05,8.55970443566282
3.21166,8.68507833333333,32.8830001941237,1.3894695390777e-07,9.64947080591486e-05,8.53026695582064
4.16702,6.48893666666667,32.8090456159744,1.40689054842307e-07,9.64947080591486e-05,8.51963529212196
4.16702,6.48893666666667,32.8090456159744,1.40689054842307e-07,9.64947080591486e-05,8.51963529212196
4.42497,7.89725833333333,32.8050265758353,1.40784464352794e-07,9.64947080591486e-05,8.51905646071178
-3.313725,9.45073166666667,-32.7828911426817,1.41311315010514e-07,9.64947080591486e-05,8.51586650849209
-4.283385,8.94460166666667,-32.7540191007942,1.42002003030251e-07,9.64947080591486e-05,8.51170075734312
-3.975155,7.67979333333333,-32.5988710970105,1.45782403030835e-07,9.7082333474354e-05,8.48921851825889
-3.02008,7.98832166666667,-32.158119147155,1.5718713457386e-07,0.000101751853211952,8.42444615971383
3.17079,8.34271333333333,32.0584109811095,1.59911159624872e-07,0.000101751853211952,8.40960507629213
3.29872,9.46114333333333,31.7702030643608,1.6810364169899e-07,0.000101751853211952,8.36630973038779
-4.48067,7.46531,-31.7285340672299,1.69328625761037e-07,0.000101751853211952,8.36000085988097
-4.48067,7.46531,-31.7285340672299,1.69328625761037e-07,0.000101751853211952,8.36000085988097
4.615785,7.55186333333333,31.6679117988238,1.71129644708811e-07,0.000101751853211952,8.35079998291292
-4.80238,7.280665,-31.5060828676465,1.76049125484934e-07,0.000101964939264456,8.32610783591232
3.396195,7.43222666666667,31.4484332372145,1.77841782864663e-07,0.000101964939264456,8.31726532933049
-3.451685,9.30932833333333,-31.3587073763778,1.80674878115233e-07,0.000101964939264456,8.30345423414323
-3.99499,8.13938,-31.178239522034,1.8653594443864e-07,0.00010272203908236,8.27549510134456
3.37502,10.1092016666667,31.1286226646487,1.88186454756403e-07,0.00010272203908236,8.26776561563561
-2.984225,9.878325,-30.8607781404553,1.97399482902626e-07,0.000106013073906593,8.22571956726552
3.32765,7.06227166666667,30.6342732162859,2.05607781266198e-07,0.000108668607822549,8.189736284638
-3.40928,7.57934166666667,-30.5431572828233,2.09022798728434e-07,0.000108747377019698,8.17514965480442
2.91352,10.395895,30.4250016832842,2.13551365604843e-07,0.0001093941510853,8.15613797888364
-3.372885,9.28617166666667,-30.2548847567999,2.20276294695717e-07,0.000110375721471267,8.12857297484735
-3.16017,9.613715,-30.177196925307,2.2343026073362e-07,0.000110375721471267,8.11590858864767
-3.353865,8.838355,-30.1290374487577,2.2541217106785e-07,0.000110375721471267,8.10803366734012
-3.96769,9.59628666666667,-29.7587418102078,2.41363467974799e-07,0.000115779860652679,8.04685997117165
-3.193975,6.09889,-29.6689108550581,2.45431447882038e-07,0.000115779860652679,8.03185142725122
3.752085,5.58836333333333,29.6373418426572,2.46880202611051e-07,0.000115779860652679,8.0265612520967
-4.00259,6.660695,-29.2510240290983,2.65451575763441e-07,0.000122760293308268,7.96115235656443
3.428795,9.03212,28.9515201352749,2.80989586732182e-07,0.000127849629967512,7.90957393556369
3.952005,6.41175833333333,28.8932495644792,2.84135886644318e-07,0.000127849629967512,7.89944940228485
-2.679525,8.13125833333333,-28.7056743302585,2.94549742500928e-07,0.000128888850506976,7.86665753860696
-2.679525,8.13125833333333,-28.7056743302585,2.94549742500928e-07,0.000128888850506976,7.86665753860696
-3.04258,8.84243166666667,-28.644235034067,2.98058128030669e-07,0.000128888850506976,7.8558497228264
-3.036385,8.52288333333333,-28.5709374526484,3.02308306816045e-07,0.000129050765282742,7.84291234040608
3.435625,8.91021666666667,28.4764746738899,3.07891589075161e-07,0.00012977045875235,7.82616892173887
3.72938,7.25161833333333,28.3813329178629,3.13638287774472e-07,0.000129843327543523,7.80922468286051
-2.67757,7.22855166666667,-28.2995909798024,3.1867681874409e-07,0.000129843327543523,7.79460198343194
