"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe_ID"
-5.48579,7.62243666666667,-50.5909007737934,1.27619790755285e-08,2.26305847889477e-05,10.559902592849,"8143127"
-5.00855,9.61807333333333,-50.4238556187788,1.29983192725346e-08,2.26305847889477e-05,10.5470290608936,"8007100"
-5.41835,6.03884166666667,-50.0188027184119,1.35931674258628e-08,2.26305847889477e-05,10.5154918413645,"8174598"
-6.246565,9.457895,-48.8793940042053,1.5446826364824e-08,2.40232925123536e-05,10.4242739095191,"8069676"
-6.36091,8.94460166666667,-48.6403551486576,1.58726742731111e-08,2.40232925123536e-05,10.4046554340489,"8139488"
-5.08914,9.05738666666667,-47.1756996872369,1.88063819888508e-08,2.57077026558908e-05,10.2806381034362,"8176375"
5.384,6.78245833333333,47.1039019209179,1.89659304049192e-08,2.57077026558908e-05,10.274385667537,"8167862"
-4.6841,7.63229,-46.8837667988488,1.94651595116608e-08,2.57077026558908e-05,10.2551118319967,"8055624"
-4.693155,8.72362833333333,-46.6241893376421,2.00738886101799e-08,2.57077026558908e-05,10.2321821853458,"8045835"
4.679065,9.691915,45.7815649613581,2.22106091968589e-08,2.73906168306596e-05,10.1562077922881,"8154725"
-5.45082,9.20651,-45.2147826445171,2.37992862200767e-08,2.80984768619903e-05,10.1037432054782,"8023497"
-5.416905,9.519465,-44.9879687186503,2.44723497311385e-08,2.80984768619903e-05,10.0824332835139,"8163257"
-4.179665,8.35230166666667,-43.9263836783254,2.79372571804191e-08,2.86050706998497e-05,9.98023032785854,"8015179"
-4.179665,8.35230166666667,-43.9263836783254,2.79372571804191e-08,2.86050706998497e-05,9.98023032785854,"8019588"
-4.687905,10.7187483333333,-43.9260039981403,2.79385961607667e-08,2.86050706998497e-05,9.98019303316886,"7988467"
-4.650955,5.90457833333333,-43.4588235366647,2.96450670700443e-08,2.86050706998497e-05,9.93389184031471,"7995697"
-5.09492,8.83414166666667,-43.3382620474159,3.01052116187015e-08,2.86050706998497e-05,9.92180844801855,"7989985"
-4.2918,8.08086333333333,-43.1048432155143,3.10202651147403e-08,2.86050706998497e-05,9.89825450243232,"8152522"
-4.29696,8.46916666666667,-42.9499872505346,3.16454503741117e-08,2.86050706998497e-05,9.88251131681941,"8148070"
6.010295,6.669155,42.9156030831656,3.17862755171468e-08,2.86050706998497e-05,9.87900296641381,"8031570"
-4.37106,10.0191466666667,-42.3094498132858,3.43945137724587e-08,2.95228899799639e-05,9.81638466884869,"7952341"
4.099375,6.97431166666667,42.1605849486619,3.50731801234744e-08,2.95228899799639e-05,9.80078041916559,"8098441"
4.48307,6.86404666666667,42.0759371614416,3.54661260533548e-08,2.95228899799639e-05,9.7918672315237,"8089464"
-4.12923,7.64050166666667,-41.6722519695687,3.74130446908656e-08,2.97238048913615e-05,9.74895432598794,"7907222"
-4.024215,8.93350833333333,-41.5520385204502,3.80169937089448e-08,2.97238048913615e-05,9.73604428388098,"8083887"
-5.018955,9.34930833333333,-41.4797805513508,3.83855485577843e-08,2.97238048913615e-05,9.72825509041325,"8121563"
-5.52955,7.60264666666667,-41.1217067693692,4.02753064041049e-08,3.04783381213064e-05,9.68932908188834,"8104746"
3.935185,7.661325,40.5551584351118,4.34944008968553e-08,3.12356838165819e-05,9.62661038397317,"8108697"
-4.31115,7.70183333333333,-40.4868224211525,4.39028429536476e-08,3.12356838165819e-05,9.61895024157563,"8014233"
-6.864055,6.58916166666667,-40.4556977157144,4.409037268761e-08,3.12356838165819e-05,9.61545444541004,"7903358"
6.035445,6.44824833333333,40.1263108630847,4.6134000341753e-08,3.20025793620698e-05,9.57819384718777,"8031573"
-4.79666,8.27397666666667,-39.6879564238433,4.90296290253761e-08,3.32607048213942e-05,9.52784463013005,"8094778"
7.10955,7.71907,39.4869356117843,5.04289050417842e-08,3.32607048213942e-05,9.50445954305411,"7973433"
-4.849225,7.93901666666667,-39.4145304133553,5.09444077812147e-08,3.32607048213942e-05,9.4959903835159,"7985786"
-5.54812,10.2252766666667,-38.6963861172031,5.64089151898543e-08,3.6008782278235e-05,9.41064363725698,"8124531"
3.876215,6.52668166666667,38.5850809320172,5.73164387406209e-08,3.6008782278235e-05,9.39719337404672,"8140650"
-4.11444,7.221905,-38.3918929666355,5.89328084607799e-08,3.63386245058998e-05,9.37370405302712,"7984813"
-6.77553,7.95223166666667,-38.1809352436249,6.07596393845242e-08,3.65327083016029e-05,9.34784319164699,"7985317"
5.28928,7.71235833333333,37.9783236366837,6.25773830652557e-08,3.65327083016029e-05,9.32279590279874,"7963353"
-4.28803,8.22987,-37.8755362304689,6.35240358183048e-08,3.65327083016029e-05,9.31000987363298,"7949971"
-5.342995,7.87473333333333,-37.7511305660918,6.4692472497126e-08,3.65327083016029e-05,9.2944628063622,"8115851"
-5.037555,6.71858666666667,-37.6862383815721,6.5312001044993e-08,3.65327083016029e-05,9.28632178025872,"8161884"
4.10188,6.260715,37.5598614533813,6.65387256667374e-08,3.65327083016029e-05,9.27040506688836,"8170580"
-7.05764,11.1224033333333,-37.4343508576939,6.77840232291524e-08,3.65327083016029e-05,9.25451573077672,"8134263"
-3.620565,11.4069283333333,-37.4103788940063,6.80249846742763e-08,3.65327083016029e-05,9.25147162847525,"8108217"
-4.885785,7.75927166666667,-37.2329207771134,6.98405226918928e-08,3.65374759812014e-05,9.22884352751913,"7965403"
4.889795,10.4268516666667,37.195703186887,7.02285029521245e-08,3.65374759812014e-05,9.22407685572236,"7969574"
-3.730915,8.13486166666667,-36.9976799476487,7.23360766410412e-08,3.69933794966448e-05,9.19859170479023,"7934570"
4.22614,7.4904,36.9069291816637,7.33268176345784e-08,3.69933794966448e-05,9.18684258210099,"8067955"
5.08266,7.3511,36.7261222152031,7.53488304329161e-08,3.74461195063404e-05,9.16330255858272,"8162652"
-4.032195,8.41161,-36.2992952540551,8.03887823854927e-08,3.92404171401569e-05,9.10702760147903,"8180344"
-4.45643,8.48102666666667,-36.2241847387234,8.13162982452122e-08,3.92404171401569e-05,9.09702096733432,"8156199"
-3.82751,7.98050166666667,-36.0435564397269,8.3598974275933e-08,3.9434443090341e-05,9.07282802779818,"7922846"
-5.796795,8.360745,-36.0056917929116,8.4087018632736e-08,3.9434443090341e-05,9.06773335901827,"7933194"
-3.89279,7.19726666666667,-35.7297732818696,8.77466450023757e-08,4.05791672033903e-05,9.03036402893837,"8051762"
3.42243,7.32727,35.2882303175734,9.40015512252806e-08,4.14657615671538e-05,8.96965544397188,"7920285"
-4.841315,7.41629166666667,-34.9416116893527,9.92823069923706e-08,4.14657615671538e-05,8.92119975685606,"7909730"
5.235175,5.76717833333333,34.9363750004878,9.93647314912711e-08,4.14657615671538e-05,8.92046222658431,"8170060"
-3.59958,8.30357166666667,-34.9314606520725,9.94421558147263e-08,4.14657615671538e-05,8.9197699454741,"7946142"
-5.437315,5.06585333333333,-34.9293063656289,9.94761184822138e-08,4.14657615671538e-05,8.91946642704272,"7915612"
4.14993,6.21733333333333,34.9074815429004,9.98209626054491e-08,4.14657615671538e-05,8.91638995357297,"8175710"
3.847335,8.56545666666667,34.8422025279408,1.00860852059268e-07,4.14657615671538e-05,8.90717106423505,"8015387"
-4.457735,9.25288333333333,-34.7831696611198,1.018122557413e-07,4.14657615671538e-05,8.89881224654434,"8096050"
-3.740405,6.09889,-34.7447123120292,1.02437747685471e-07,4.14657615671538e-05,8.89335555158937,"8095021"
-7.35763,8.59107666666667,-34.7358495305963,1.02582538746671e-07,4.14657615671538e-05,8.89209675051343,"7971077"
-3.55567,9.70137666666667,-34.5824902870435,1.05126594050364e-07,4.14657615671538e-05,8.87023944772139,"7938390"
-3.36158,9.76535666666667,-34.5477405818323,1.0571334748224e-07,4.14657615671538e-05,8.8652669274193,"7931097"
-4.57217,6.91967833333333,-34.5394991104415,1.05853071844553e-07,4.14657615671538e-05,8.86408653043,"8067839"
-3.43763,8.42077,-34.0807326918863,1.13986003322145e-07,4.3794340417289e-05,8.79771910398586,"8118890"
4.04496,6.84408833333333,34.0569166134245,1.14427954960031e-07,4.3794340417289e-05,8.79423801807185,"8091078"
3.82129,5.65664666666667,33.812778169304,1.19076916846434e-07,4.50557284117696e-05,8.75834719682765,"8162570"
-3.635385,7.35387,-33.7238456791908,1.2082549766357e-07,4.52036696146504e-05,8.74517919669162,"7948987"
-4.70815,7.51105833333333,-33.5060596733473,1.25237021218367e-07,4.58191616254798e-05,8.71271789540682,"8056222"
-3.11915,8.13125833333333,-33.4153643228654,1.27130010975918e-07,4.58191616254798e-05,8.69910918095976,"8015196"
-3.11915,8.13125833333333,-33.4153643228654,1.27130010975918e-07,4.58191616254798e-05,8.69910918095976,"8019578"
-4.08396,8.99025,-33.3753947182376,1.2797495363455e-07,4.58191616254798e-05,8.69309479754662,"8161906"
-3.7322,6.147115,-33.2096295583346,1.31550604043644e-07,4.64933760515563e-05,8.66803982190974,"8120961"
-3.30535,6.43112166666667,-33.1461559204589,1.32950870169403e-07,4.64933760515563e-05,8.65839806254089,"7930181"
-3.284075,10.2016083333333,-33.097014712495,1.34047034295865e-07,4.64933760515563e-05,8.65091511451399,"7923547"
4.345695,5.94429166666667,33.0217382060863,1.35746919818885e-07,4.65975792702002e-05,8.63942132709224,"8067140"
-3.797365,7.26625833333333,-32.9204724611127,1.38073957951616e-07,4.6912740590969e-05,8.62389967308303,"7908459"
-3.32126,7.5948,-32.8056582818627,1.40769462992967e-07,4.72360478161525e-05,8.60621813565917,"8135734"
3.218925,6.9985,32.6996735606905,1.43312906029436e-07,4.72360478161525e-05,8.58981734276229,"8015806"
-4.021145,5.75811666666667,-32.6915800758607,1.43509352511613e-07,4.72360478161525e-05,8.58856177100236,"8080847"
-3.613795,9.707085,-32.642802771787,1.44700029349418e-07,4.72360478161525e-05,8.58098533252689,"8041781"
3.42319,7.03801,32.5217205928866,1.47706404043395e-07,4.73127410336221e-05,8.56210776563893,"7923596"
3.64454,6.25920833333333,32.518919144557,1.47776828768258e-07,4.73127410336221e-05,8.56166981108734,"8072015"
6.39851,6.17581333333333,32.4444037662703,1.49664661028532e-07,4.74608020787337e-05,8.55000089667039,"8166611"
-4.51791,6.68401,-32.0075802998155,1.61321257251123e-07,5.01177488740723e-05,8.48081932138984,"7983630"
-3.19116,7.34496166666667,-31.8661652161389,1.65322068056276e-07,5.01177488740723e-05,8.45813494403337,"7936494"
